order_id,customer_id,order_date,amount,status,updated_at
1001,1,2024-06-01,150.00,completed,2024-06-01 10:30:00
1002,2,2024-06-02,89.99,completed,2024-06-02 11:00:00
1003,1,2024-06-05,220.50,completed,2024-06-05 12:00:00
1004,3,2024-06-10,45.00,completed,2024-07-14 08:30:00
1005,4,2024-06-15,310.00,completed,2024-06-15 14:00:00
1006,2,2024-06-20,67.50,cancelled,2024-06-20 12:10:00
1007,5,2024-06-25,199.99,completed,2024-06-25 16:45:00
1008,1,2024-07-01,85.00,completed,2024-07-01 10:00:00
1009,3,2024-07-05,125.00,pending,2024-07-05 13:00:00
1010,4,2024-07-10,430.00,completed,2024-07-10 15:30:00
1011,6,2024-07-14,85.00,completed,2024-07-14 10:00:00
